family,replicate,n_trades,mean_r
rotation,240,77,0.130950
rotation,241,77,0.056442
rotation,242,77,0.155039
rotation,243,77,0.143027
rotation,244,77,-0.256077
rotation,245,74,0.422701
rotation,246,77,0.126618
rotation,247,76,0.146717
rotation,248,76,-0.172786
rotation,249,77,-0.009932
rotation,250,77,0.272134
rotation,251,76,0.143996
rotation,252,76,-0.060652
rotation,253,77,0.189443
rotation,254,76,0.461587
rotation,255,74,0.352005
rotation,256,75,-0.076050
rotation,257,76,0.372356
rotation,258,77,0.154446
rotation,259,75,0.098178
rotation,260,77,0.145272
rotation,261,77,-0.027142
rotation,262,77,0.159392
rotation,263,77,0.142919
rotation,264,74,0.237911
rotation,265,77,0.164803
rotation,266,77,0.029268
rotation,267,76,0.641350
rotation,268,77,-0.218466
rotation,269,77,0.157643
rotation,270,75,0.394897
rotation,271,75,0.193454
rotation,272,76,0.116963
rotation,273,77,1.166079
rotation,274,77,0.010731
rotation,275,77,0.133495
rotation,276,77,0.342747
rotation,277,76,0.192343
rotation,278,77,0.362011
rotation,279,76,-0.126582
rotation,280,77,-0.203054
rotation,281,77,0.398469
rotation,282,77,0.389296
rotation,283,77,0.356519
rotation,284,76,-0.039567
rotation,285,77,0.142727
rotation,286,75,0.206940
rotation,287,76,0.153414
rotation,288,77,0.339384
rotation,289,77,0.215730
rotation,290,77,0.189443
rotation,291,77,0.328155
rotation,292,77,0.215730
rotation,293,77,0.352837
rotation,294,77,0.016397
rotation,295,77,0.217695
rotation,296,76,-0.097802
rotation,297,77,-0.248572
rotation,298,76,0.049219
rotation,299,77,0.297543
rotation,300,77,0.055308
rotation,301,77,0.020564
rotation,302,77,-0.225500
rotation,303,77,0.269448
rotation,304,77,0.159392
rotation,305,76,0.173085
rotation,306,73,0.173148
rotation,307,77,-0.094727
rotation,308,77,0.313408
rotation,309,76,0.025252
rotation,310,77,-0.089518
rotation,311,77,0.068833
rotation,312,71,0.306312
rotation,313,74,0.310928
rotation,314,77,0.128344
rotation,315,77,-0.007941
rotation,316,77,0.246878
rotation,317,77,-0.045058
rotation,318,77,-0.178145
rotation,319,77,0.352048
rotation,320,77,0.389647
rotation,321,73,0.148887
rotation,322,77,0.861057
rotation,323,76,0.034862
rotation,324,77,-0.074660
rotation,325,77,0.276986
rotation,326,77,0.489667
rotation,327,77,-0.346193
rotation,328,76,1.509773
rotation,329,77,-0.094941
rotation,330,77,0.369379
rotation,331,76,0.203559
rotation,332,75,0.311358
rotation,333,77,-0.273904
rotation,334,77,0.500343
rotation,335,77,0.433540
rotation,336,77,0.152436
rotation,337,76,0.341387
rotation,338,77,0.364727
rotation,339,77,0.795303
rotation,340,77,0.271563
rotation,341,77,0.084577
rotation,342,76,0.125755
rotation,343,77,0.435713
rotation,344,75,0.359866
rotation,345,77,0.326434
rotation,346,76,-0.062494
rotation,347,76,0.064268
rotation,348,77,0.245872
rotation,349,75,0.316172
rotation,350,77,-0.000416
rotation,351,77,-0.244473
rotation,352,75,0.155345
rotation,353,74,0.322131
rotation,354,76,0.480563
rotation,355,77,0.125570
rotation,356,76,0.020915
rotation,357,77,0.050673
rotation,358,77,-0.038495
rotation,359,75,0.082933
rotation,360,77,-0.129931
rotation,361,77,0.053909
rotation,362,77,0.133300
rotation,363,77,-0.273294
rotation,364,77,-0.017253
rotation,365,77,-0.146542
rotation,366,77,0.219104
rotation,367,77,0.068703
rotation,368,77,0.321522
rotation,369,75,0.166673
rotation,370,77,0.086627
rotation,371,73,0.301884
rotation,372,75,0.154223
rotation,373,76,-0.074710
rotation,374,75,0.061886
rotation,375,77,-0.275603
rotation,376,77,0.062612
rotation,377,77,0.235631
rotation,378,77,-0.007758
rotation,379,77,0.064861
rotation,380,77,0.389296
rotation,381,76,0.341387
rotation,382,77,-0.197631
rotation,383,76,0.315513
rotation,384,77,-0.193821
rotation,385,76,-0.275706
rotation,386,77,0.216810
rotation,387,77,-0.059365
rotation,388,73,0.036470
rotation,389,77,0.110170
rotation,390,77,0.478493
rotation,391,74,0.253928
rotation,392,77,0.510428
rotation,393,73,0.382083
rotation,394,77,-0.062492
rotation,395,77,0.463899
rotation,396,77,0.171198
rotation,397,77,0.073720
rotation,398,77,0.219235
rotation,399,77,-0.097460
rotation,400,77,0.193302
rotation,401,76,0.371313
rotation,402,74,0.238040
rotation,403,76,0.117813
rotation,404,77,0.177204
rotation,405,76,0.006511
rotation,406,77,0.131309
rotation,407,77,0.291883
rotation,408,75,0.256752
rotation,409,76,0.083560
rotation,410,74,0.313122
rotation,411,77,0.200335
rotation,412,77,0.070540
rotation,413,75,0.390939
rotation,414,76,0.171206
rotation,415,76,-0.002464
rotation,416,77,0.027490
rotation,417,74,-0.106334
rotation,418,77,0.423616
rotation,419,77,0.228223
rotation,420,77,0.279848
rotation,421,77,0.239805
rotation,422,77,0.095122
rotation,423,75,0.258085
rotation,424,77,0.620797
rotation,425,73,0.287561
rotation,426,73,0.177103
rotation,427,76,0.251966
rotation,428,76,0.140081
rotation,429,77,-0.283249
rotation,430,77,0.270517
rotation,431,77,0.472612
rotation,432,75,0.347579
rotation,433,74,0.308596
rotation,434,77,-0.028341
rotation,435,76,0.006511
rotation,436,77,-0.248572
rotation,437,77,-0.199102
rotation,438,77,0.191826
rotation,439,77,0.201006
rotation,440,77,0.100027
rotation,441,77,-0.062903
rotation,442,77,0.148145
rotation,443,77,0.497472
rotation,444,76,-0.080779
rotation,445,74,0.247315
rotation,446,77,-0.052695
rotation,447,77,-0.088043
rotation,448,76,0.193691
rotation,449,76,0.281548
rotation,450,77,0.018597
rotation,451,77,-0.193821
rotation,452,77,0.295631
rotation,453,77,0.107590
rotation,454,77,-0.170650
rotation,455,75,0.466579
rotation,456,74,0.293112
rotation,457,74,0.312969
rotation,458,77,-0.010976
rotation,459,77,0.055308
rotation,460,77,0.010970
rotation,461,76,0.189744
rotation,462,75,0.281681
rotation,463,77,0.102628
rotation,464,77,0.185870
rotation,465,77,0.033116
rotation,466,76,-0.017075
rotation,467,76,0.077744
rotation,468,74,0.526318
rotation,469,76,0.272994
rotation,470,75,0.463304
rotation,471,77,-0.022287
rotation,472,73,0.200887
rotation,473,77,-0.054054
rotation,474,77,-0.221916
rotation,475,77,-0.029788
rotation,476,77,0.405152
rotation,477,75,0.013155
rotation,478,77,0.071876
rotation,479,77,0.189154
rotation,480,77,0.271563
rotation,481,77,0.332643
rotation,482,74,0.296187
rotation,483,76,-0.233796
rotation,484,77,-0.173361
rotation,485,77,0.076386
rotation,486,77,0.393202
rotation,487,77,0.264062
rotation,488,73,0.400485
rotation,489,76,-0.255975
rotation,490,77,0.552362
rotation,491,76,-0.062070
rotation,492,74,0.324052
rotation,493,75,0.147249
rotation,494,77,1.088609
rotation,495,76,0.323605
rotation,496,76,0.395772
rotation,497,77,0.114022
rotation,498,77,0.435575
rotation,499,77,0.393463
rotation,500,77,0.003473
rotation,501,76,-0.004637
rotation,502,76,-0.097010
rotation,503,74,0.209180
rotation,504,76,-0.097010
rotation,505,77,0.326327
rotation,506,76,0.152722
rotation,507,77,0.162773
rotation,508,77,0.197792
rotation,509,77,-0.133595
rotation,510,76,0.130414
rotation,511,77,0.100027
rotation,512,76,1.303274
rotation,513,77,0.299175
rotation,514,77,0.166031
rotation,515,77,0.013058
rotation,516,77,0.353553
rotation,517,74,0.269029
rotation,518,73,0.515874
rotation,519,77,0.032631
rotation,520,77,0.249460
rotation,521,75,0.235781
rotation,522,77,-0.205411
rotation,523,77,0.169060
rotation,524,76,0.207374
rotation,525,77,-0.078645
rotation,526,73,0.382083
rotation,527,77,0.069488
rotation,528,72,0.265314
rotation,529,77,0.277408
rotation,530,76,0.007034
rotation,531,76,0.026190
rotation,532,75,0.300917
rotation,533,77,0.282281
rotation,534,76,-0.017075
rotation,535,77,0.391649
rotation,536,77,0.185870
rotation,537,76,0.543015
rotation,538,77,0.358591
rotation,539,74,0.167106
rotation,540,74,-0.121760
rotation,541,75,0.097433
rotation,542,77,-0.095588
rotation,543,77,0.854333
rotation,544,77,0.248390
rotation,545,75,0.069715
rotation,546,76,0.171206
rotation,547,77,0.278548
rotation,548,77,0.393381
rotation,549,77,0.198373
rotation,550,77,0.397678
rotation,551,77,0.067311
rotation,552,77,0.247213
rotation,553,77,0.353553
rotation,554,77,-0.001321
rotation,555,76,-0.062494
rotation,556,77,-0.074455
rotation,557,73,0.400485
rotation,558,76,1.319195
rotation,559,76,0.253625
rotation,560,77,0.230496
rotation,561,74,-0.052219
rotation,562,77,0.232661
rotation,563,76,0.000591
rotation,564,77,0.337652
rotation,565,76,0.000591
rotation,566,77,0.189154
rotation,567,74,0.597341
rotation,568,77,0.266261
rotation,569,76,0.021349
rotation,570,76,0.080282
rotation,571,77,0.209530
rotation,572,77,0.010731
rotation,573,77,0.079219
rotation,574,77,0.036626
rotation,575,74,0.268108
rotation,576,76,0.370097
rotation,577,77,0.230496
rotation,578,75,0.115978
rotation,579,77,0.121435
rotation,580,74,-0.121760
rotation,581,77,0.126393
rotation,582,77,-0.228937
rotation,583,76,0.043923
rotation,584,73,0.338441
rotation,585,76,0.208363
rotation,586,75,-0.020143
rotation,587,76,0.000591
rotation,588,75,0.102286
rotation,589,76,0.211828
rotation,590,77,-0.022287
rotation,591,77,0.039936
rotation,592,77,-0.011451
rotation,593,77,0.297928
rotation,594,77,0.424093
rotation,595,77,-0.238747
rotation,596,76,0.351546
rotation,597,77,0.616821
rotation,598,73,0.154665
rotation,599,77,-0.193821
rotation,600,77,-0.183562
rotation,601,77,0.227561
rotation,602,77,-0.064284
rotation,603,77,0.065697
rotation,604,74,-0.043594
rotation,605,76,0.021349
rotation,606,77,0.435575
rotation,607,75,0.200710
rotation,608,77,-0.198898
rotation,609,77,0.273539
rotation,610,77,1.166079
rotation,611,77,-0.024462
rotation,612,77,-0.059056
rotation,613,73,0.198705
rotation,614,77,-0.178145
rotation,615,73,0.141373
rotation,616,77,-0.212153
rotation,617,77,0.616821
rotation,618,77,-0.203571
rotation,619,76,0.499009
rotation,620,74,0.284718
rotation,621,77,0.352767
rotation,622,76,0.226336
rotation,623,75,0.199101
rotation,624,77,-0.147560
rotation,625,75,0.101085
rotation,626,74,-0.005579
rotation,627,77,0.163679
rotation,628,77,0.300273
rotation,629,77,-0.119165
rotation,630,77,-0.038552
rotation,631,75,0.099575
rotation,632,77,0.334428
rotation,633,77,0.334877
rotation,634,77,0.550961
rotation,635,75,-0.148302
rotation,636,77,-0.084009
rotation,637,77,0.238839
rotation,638,77,0.397329
rotation,639,77,0.241353
rotation,640,74,0.253286
rotation,641,77,-0.049548
rotation,642,76,0.024820
rotation,643,75,0.300917
rotation,644,75,0.451785
rotation,645,77,0.402040
rotation,646,77,0.275432
rotation,647,76,0.252515
rotation,648,77,-0.034094
rotation,649,76,-0.038992
rotation,650,75,-0.080324
rotation,651,77,0.282794
rotation,652,77,0.409453
rotation,653,77,0.037220
rotation,654,77,-0.277447
rotation,655,77,0.272725
rotation,656,77,0.170570
rotation,657,76,-0.153355
rotation,658,77,0.062828
rotation,659,77,0.228430
rotation,660,77,0.092570
rotation,661,75,0.117396
rotation,662,77,-0.145218
rotation,663,77,-0.017426
rotation,664,75,0.195464
rotation,665,77,0.297797
rotation,666,73,0.168896
rotation,667,77,0.047995
rotation,668,75,0.120682
rotation,669,77,-0.059365
rotation,670,73,0.210093
rotation,671,77,0.026941
rotation,672,77,0.064861
rotation,673,77,-0.178145
rotation,674,77,-0.032972
rotation,675,77,0.132177
rotation,676,75,-0.166069
rotation,677,74,0.184964
rotation,678,77,0.056570
rotation,679,75,0.065775
rotation,680,77,0.143570
rotation,681,74,0.102530
rotation,682,75,0.187585
rotation,683,77,0.352837
rotation,684,73,0.272647
rotation,685,77,-0.009937
rotation,686,76,0.034862
rotation,687,77,-0.168989
rotation,688,77,0.269377
rotation,689,77,-0.114117
rotation,690,77,0.113716
rotation,691,77,0.054650
rotation,692,74,0.143031
rotation,693,77,-0.141545
rotation,694,77,0.075054
rotation,695,77,0.389236
rotation,696,77,0.124303
rotation,697,77,0.239442
rotation,698,77,0.101218
rotation,699,77,0.348165
rotation,700,77,0.079164
rotation,701,77,-0.158355
rotation,702,77,0.152712
rotation,703,74,-0.066678
rotation,704,77,0.155629
rotation,705,77,0.031393
rotation,706,77,0.186390
rotation,707,73,0.090503
rotation,708,77,0.435713
rotation,709,76,0.526920
rotation,710,73,0.360701
rotation,711,77,0.150744
rotation,712,77,0.222048
rotation,713,75,-0.080324
rotation,714,75,0.199101
rotation,715,77,0.091190
rotation,716,75,0.342181
rotation,717,76,0.281548
rotation,718,75,0.382945
rotation,719,75,0.484367
rotation,720,77,0.010970
rotation,721,77,0.221514
rotation,722,75,-0.068802
rotation,723,77,-0.000416
rotation,724,76,1.319195
rotation,725,77,-0.119896
rotation,726,77,0.018196
rotation,727,77,-0.141545
rotation,728,76,-0.320454
rotation,729,77,0.277541
rotation,730,77,-0.010070
rotation,731,77,0.341952
rotation,732,75,0.291670
rotation,733,76,0.090525
rotation,734,77,0.334877
rotation,735,73,0.156696
rotation,736,77,0.105162
rotation,737,75,0.377796
rotation,738,77,-0.188713
rotation,739,77,0.000514
rotation,740,72,0.283608
rotation,741,77,0.100027
rotation,742,73,0.210093
rotation,743,77,0.396797
rotation,744,75,0.478398
rotation,745,77,0.371901
rotation,746,77,0.027490
rotation,747,77,0.235631
rotation,748,75,0.271433
rotation,749,75,0.363970
rotation,750,76,0.248867
rotation,751,77,0.125963
rotation,752,75,0.179704
rotation,753,77,0.286336
rotation,754,77,0.298813
rotation,755,77,-0.265641
rotation,756,75,0.198007
rotation,757,77,-0.168989
rotation,758,77,-0.063791
rotation,759,77,0.048159
rotation,760,77,0.109148
rotation,761,76,0.315513
rotation,762,73,0.092234
rotation,763,75,0.316172
rotation,764,76,0.121617
rotation,765,76,0.260132
rotation,766,76,0.130414
rotation,767,77,0.006978
rotation,768,75,0.385685
rotation,769,77,-0.171842
rotation,770,74,0.269029
rotation,771,76,-0.081289
rotation,772,77,-0.127079
rotation,773,75,0.459568
rotation,774,77,-0.146542
rotation,775,73,0.290901
rotation,776,77,0.261041
rotation,777,76,0.285292
rotation,778,76,-0.291029
rotation,779,77,0.025062
rotation,780,77,-0.198898
rotation,781,76,0.319586
rotation,782,77,-0.256077
rotation,783,77,-0.195173
rotation,784,76,0.051952
rotation,785,76,0.384881
rotation,786,76,-0.313947
rotation,787,77,0.305722
rotation,788,75,0.211517
rotation,789,77,0.061514
rotation,790,74,-0.096738
rotation,791,77,0.074031
rotation,792,77,0.363475
rotation,793,77,-0.114117
rotation,794,77,0.366293
rotation,795,77,0.025747
rotation,796,77,0.297928
rotation,797,77,0.200455
rotation,798,77,0.190105
rotation,799,77,0.103783
rotation,800,77,-0.001016
rotation,801,77,0.235631
rotation,802,77,0.319715
rotation,803,76,0.131347
rotation,804,77,-0.082331
rotation,805,77,-0.104861
rotation,806,77,0.205102
rotation,807,77,0.153554
rotation,808,77,0.456434
rotation,809,77,0.371495
rotation,810,77,0.263096
rotation,811,77,0.239799
rotation,812,77,-0.136861
rotation,813,75,0.087512
rotation,814,76,0.081437
rotation,815,77,-0.022333
rotation,816,77,0.404038
rotation,817,76,0.126942
rotation,818,74,0.324052
rotation,819,76,-0.275706
rotation,820,77,0.010731
rotation,821,75,0.476682
rotation,822,75,0.428544
rotation,823,75,-0.176309
rotation,824,75,0.301706
rotation,825,77,0.264062
rotation,826,72,0.283608
rotation,827,76,0.056897
rotation,828,77,0.192202
rotation,829,77,0.084577
rotation,830,76,0.020915
rotation,831,76,0.526763
rotation,832,77,0.415108
rotation,833,73,0.383528
rotation,834,77,0.216091
rotation,835,77,0.187626
rotation,836,77,0.195594
rotation,837,77,-0.147560
rotation,838,74,0.125022
rotation,839,77,0.000574
rotation,840,77,-0.110049
rotation,841,73,0.274976
