fold,start,end,trades,mean_r,percentile,note
1,200,515,32,-0.14584034383668412,33.0,
2,515,830,28,0.4570492827198933,99.0,
3,830,1145,34,-0.02296361347999933,50.0,
4,1145,1461,40,-0.05133975516714442,39.800000000000004,
