fold,start,end,trades,mean_r,percentile,note
1,200,933,16,0.19919580051452124,79.2,
2,933,1666,16,0.27217003366870784,83.2,
3,1666,2399,18,-0.09477651413460556,35.199999999999996,
4,2399,3135,26,-0.05209117487565773,49.2,
