fold,start,end,trades,mean_r,percentile,note
1,200,515,48,-0.12753216106233364,30.2,
2,515,830,31,-0.17583834159766465,22.2,
3,830,1145,39,-0.23346920995470763,11.200000000000001,
4,1145,1461,44,-0.1404933954096158,14.000000000000002,
