fold,start,end,trades,mean_r,percentile,note
1,200,515,26,-0.07678779484586028,28.999999999999996,
2,515,830,33,-0.02498507396553378,56.00000000000001,
3,830,1145,33,-0.22014358188336758,9.2,
4,1145,1461,39,0.05394321888205877,69.6,
