fold,start,end,trades,mean_r,percentile,note
1,200,933,70,0.00496532819878462,55.60000000000001,
2,933,1666,73,0.009552791204442607,54.2,
3,1666,2399,70,-0.04775378615543294,38.0,
4,2399,3135,77,-0.056958425326165275,47.199999999999996,
