family,replicate,n_trades,mean_r
rotation,0,71,0.179008
rotation,1,72,-0.003892
rotation,2,72,0.199366
rotation,3,72,0.218286
rotation,4,72,-0.166141
rotation,5,72,-0.078615
rotation,6,72,0.029328
rotation,7,72,0.125899
rotation,8,72,-0.032628
rotation,9,72,0.218286
rotation,10,72,0.119668
rotation,11,72,-0.098109
rotation,12,71,0.015048
rotation,13,71,0.137021
rotation,14,72,-0.008286
rotation,15,72,0.278271
rotation,16,71,0.150865
rotation,17,71,0.315622
rotation,18,72,0.121423
rotation,19,72,0.057608
rotation,20,71,0.016597
rotation,21,72,-0.081085
rotation,22,72,-0.023094
rotation,23,72,-0.126816
rotation,24,72,-0.068629
rotation,25,72,-0.007508
rotation,26,72,-0.134724
rotation,27,72,-0.025584
rotation,28,72,0.000141
rotation,29,70,0.103391
rotation,30,72,0.177226
rotation,31,71,0.243620
rotation,32,72,0.016224
rotation,33,70,-0.053121
rotation,34,72,-0.068276
rotation,35,72,0.051398
rotation,36,72,0.014364
rotation,37,72,-0.034494
rotation,38,72,0.058294
rotation,39,72,0.201720
rotation,40,71,-0.074438
rotation,41,72,-0.035719
rotation,42,72,-0.056338
rotation,43,72,0.050978
rotation,44,70,0.023276
rotation,45,72,0.087277
rotation,46,72,0.040443
rotation,47,72,0.060818
rotation,48,72,-0.246615
rotation,49,71,0.195444
rotation,50,71,0.006509
rotation,51,71,0.163103
rotation,52,71,0.167855
rotation,53,72,0.096848
rotation,54,72,-0.154450
rotation,55,72,0.009260
rotation,56,72,-0.021254
rotation,57,72,0.194872
rotation,58,71,0.109964
rotation,59,71,0.090723
rotation,60,72,0.070792
rotation,61,71,0.111266
rotation,62,72,0.053323
rotation,63,72,0.081916
rotation,64,71,-0.022330
rotation,65,72,0.075896
rotation,66,72,0.088990
rotation,67,72,0.230968
rotation,68,72,0.002932
rotation,69,71,0.019208
rotation,70,72,0.014364
rotation,71,72,-0.023828
rotation,72,72,-0.170310
rotation,73,71,0.205178
rotation,74,72,0.051398
rotation,75,72,-0.240995
rotation,76,72,-0.108242
rotation,77,72,-0.139598
rotation,78,71,0.279366
rotation,79,72,-0.014041
rotation,80,72,0.304299
rotation,81,72,-0.000647
rotation,82,72,0.031679
rotation,83,72,0.063285
rotation,84,71,-0.065580
rotation,85,71,0.254601
rotation,86,72,0.135771
rotation,87,72,0.012680
rotation,88,72,-0.033771
rotation,89,71,0.118892
rotation,90,72,0.336263
rotation,91,71,0.345852
rotation,92,71,0.150699
rotation,93,72,0.041771
rotation,94,72,0.145344
rotation,95,72,0.117747
rotation,96,72,-0.018516
rotation,97,72,0.084656
rotation,98,72,-0.053156
rotation,99,72,0.022034
rotation,100,71,0.119374
rotation,101,72,-0.163600
rotation,102,72,0.097048
rotation,103,72,0.137092
rotation,104,71,0.092355
rotation,105,72,0.060818
rotation,106,70,-0.030322
rotation,107,72,0.074746
rotation,108,72,-0.013338
rotation,109,72,-0.095037
rotation,110,72,0.059298
rotation,111,71,0.125297
rotation,112,72,0.133536
rotation,113,70,0.109830
rotation,114,72,-0.000772
rotation,115,72,-0.067107
rotation,116,71,0.157469
rotation,117,72,0.046581
