fold,start,end,trades,mean_r,percentile,note
1,200,515,31,0.4242828368601503,98.4,
2,515,830,33,0.0068425403416723166,59.0,
3,830,1145,33,0.011831931552554294,55.800000000000004,
4,1145,1461,27,0.005765172861679513,58.8,
