fold,start,end,trades,mean_r,percentile,note
1,200,515,23,-0.027489125823802238,64.8,
2,515,830,20,-0.03601399677006464,55.400000000000006,
3,830,1145,22,-0.131100985496396,30.0,
4,1145,1461,11,0.1376068889925692,67.2,
