fold,start,end,trades,mean_r,percentile,note
1,200,515,28,0.2271642133932945,99.2,
2,515,830,21,-0.2123913710047057,31.2,
3,830,1145,22,0.2290238134291907,95.39999999999999,
4,1145,1461,14,0.08951375764090244,62.0,
