fold,start,end,trades,mean_r,percentile,note
1,200,3994,83,-0.04868452094161587,40.2,
2,3994,7788,77,0.2527009576969844,94.0,
3,7788,11582,91,-0.17472366546815124,15.0,
4,11582,15379,99,0.1087220900322056,78.0,
