fold,start,end,trades,mean_r,percentile,note
1,200,791,15,0.22933775314803723,59.4,
2,791,1382,29,0.43343977192817523,75.2,
3,1382,1973,10,-0.06482964750161994,40.2,
4,1973,2564,23,0.7630488876974072,92.2,
