fold,start,end,trades,mean_r,percentile,note
1,200,791,12,-0.16141718696647095,21.8,
2,791,1382,13,1.2690356773230687,100.0,
3,1382,1973,8,-0.32809229651106797,,8 trades: too few for a stable percentile
4,1973,2564,14,0.10031196572316996,49.6,
