fold,start,end,trades,mean_r,percentile,note
1,200,15528,471,-0.1893064910332722,33.800000000000004,
2,15528,30856,478,0.053450343891529764,100.0,
3,30856,46184,490,-0.26742309396829955,8.799999999999999,
4,46184,61513,600,-0.1618134620791878,48.6,
