fold,start,end,trades,mean_r,percentile,note
1,200,515,31,0.09703845111362056,83.8,
2,515,830,33,0.41312506661466747,97.8,
3,830,1145,33,-0.07779230051226899,36.0,
4,1145,1461,27,0.009367433918542889,62.8,
